StudyID,RecordID,Virus,Virus.Order,Virus.Family,Virus.Genus,VirusSpecies,Bat_Name,HostFamily,HostGenus,HostSpecies,Genus_spp,N_Individuals,DetectionMethod,SampleType,N_Sample_Pos,N_Sample_Tested,SubsequentTest,Isolate,Sequence,Notes,FirstAuthor,Title,Year,Sampling_Notes,Year_Sampled,MeanYear,Source,N_spp,N_Bats,N_Killed,Prop_Killed,N_Samples,No_Novel_Viruses,N_Total_Viruses,ViralFamiliesTest,General_Notes,Full_Reference,DetMethCat,SampleCat,KillNum,SampPosNum,PrevPos
GW07,1,BatBHV-1,Herpesvirales,Herpesviridae,NA,Bat betaherpesvirus 1,Natterer's Bat,Vespertilionidae,Myotis,nattereri,Myotis_nattereri,4,PCR,lung tissue,2,4,0,NA,1,Bat spp. confirmed by cytB gene; primary PCR with degenerate primers,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.5
GW07,2,BatBHV-1,Herpesvirales,Herpesviridae,NA,Bat betaherpesvirus 1,Natterer's Bat,Vespertilionidae,Myotis,nattereri,Myotis_nattereri,4,PCR,lung tissue,2,4,1,NA,1,secondary PCR with virus-specific primers; virus-positive after primary PCR screening and secondary PCR screening (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.5
GW07,3,BatBHV-1,Herpesvirales,Herpesviridae,NA,Bat betaherpesvirus 1,Common Pipistrelle,Vespertilionidae,Pipistrellus,pipistrellus,Pipistrellus_pipistrellus,9,PCR,lung tissue,2,9,0,NA,1,Bat spp. confirmed by cytB gene; initial PCR used DPOL gene sequence,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.222222222
GW07,4,BatBHV-1,Herpesvirales,Herpesviridae,NA,Bat betaherpesvirus 1,Common Pipistrelle,Vespertilionidae,Pipistrellus,pipistrellus,Pipistrellus_pipistrellus,9,PCR,lung tissue,2,9,1,NA,1,secondary PCR with virus-specific primers; virus-positive after secondary PCR screening; (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.222222222
GW07,5,BatGHV-1,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 1,Nathusius' Pipistrelle,Vespertilionidae,Pipistrellus,nathusii,Pipistrellus_nathusii,1,PCR,lung tissue,1,1,0,NA,1,Bat spp. confirmed by cytB gene; initial PCR used DPOL gene sequence,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,1
GW07,6,BatGHV-1,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 1,Nathusius' Pipistrelle,Vespertilionidae,Pipistrellus,nathusii,Pipistrellus_nathusii,1,PCR,lung tissue,1,1,1,NA,1,secondary PCR with virus-specific primers; virus-positive after secondary PCR screening; (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,1
GW07,7,BatGHV-1,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 1,Natterer's Bat,Vespertilionidae,Myotis,nattereri,Myotis_nattereri,4,PCR,lung tissue,1,4,0,NA,1,Bat spp. confirmed by cytB gene; initial PCR used DPOL gene sequence,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.25
GW07,8,BatGHV-1,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 1,Natterer's Bat,Vespertilionidae,Myotis,nattereri,Myotis_nattereri,4,PCR,lung tissue,1,4,1,NA,1,secondary PCR with virus-specific primers; virus-positive after secondary PCR screening; (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.25
GW07,9,BatGHV-1,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 1,Common Pipistrelle,Vespertilionidae,Pipistrellus,pipistrellus,Pipistrellus_pipistrellus,9,PCR,lung tissue,2,9,0,NA,1,Bat spp. confirmed by cytB gene; initial PCR used DPOL gene sequence,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.222222222
GW07,10,BatGHV-1,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 1,Common Pipistrelle,Vespertilionidae,Pipistrellus,pipistrellus,Pipistrellus_pipistrellus,9,PCR,lung tissue,2,9,1,NA,1,secondary PCR with virus-specific primers; virus-positive after secondary PCR screening; (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.222222222
